BUYER_COUNTY,BUYER_STATE,year_x,DOSAGE_UNIT,TOT_POP,drugdensity,densitybins,TOT_MALE,TOT_FEMALE,WA_PER,BA_PER,IA_PER,H_PER,GRNDTOT,Poverty_Percent,Median_Income,ltHS,HS,sCorA,B+,ObesityPercent,democrat,republican,Unemp_Yearly_Rate,crimerate
RANDOLPH,WV,2007,74130,28497,2.6,2,14578,13919,97.09,1.64,0.17,0.84,894,19.1,33472,21.4,45.1,17.85,15.65,28.5,42.07,56.12,5.09,0.03
SEQUATCHIE,TN,2009,74110,13729,5.4,3,6787,6942,96.47,1.57,0.46,2.17,872,17.7,37810,25.1,39.65,22.9,12.35,35.6,30.92,67.02,12.35,0.06
CHAMPAIGN,OH,2007,74100,39574,1.87,1,19566,20008,95.29,2.57,0.43,1.18,1278,11,47384,14,47.5,25.15,13.35,28.4,38.6,59.84,5.89,0.03
DODGE,NE,2007,74100,35847,2.07,1,17338,18509,96.89,0.94,0.68,6.89,1560.5,12.6,42320,13.65,38,31.3,17,29.9,40.38,57.84,3.19,0.04
ELLIS,KS,2008,74100,27478,2.7,2,13468,14010,96.51,0.95,0.4,3.59,1668,11.2,44846,9.8,27.1,30.7,32.4,29.6,32.22,65.94,3.05,0.06
GREEN,WI,2009,74100,36096,2.05,1,17936,18160,97.44,0.79,0.33,2.06,1457,9.8,51030,11.7,38.8,29.55,19.95,25.7,61.05,37.4,8.88,0.04
MATAGORDA,TX,2008,74100,37002,2,1,18576,18426,83.3,12.27,0.94,37.77,2560.75,18,40578,26.1,32.05,28.25,13.6,28.5,35.88,63.32,9.224,0.07
OVERTON,TN,2009,74100,21021,3.53,3,10336,10685,96.94,1.41,0.41,1.37,1057,21.3,32574,30.7,41.85,16.75,10.65,32.6,40.84,57.25,13.37,0.05
RIPLEY,MO,2010,74100,14100,5.26,3,6984,7116,97.13,0.35,0.88,1.01,214,26.6,29213,29.6,36.4,24.1,9.85,33.8,29.99,67.33,12.88,0.02
WALKER,TX,2008,74100,63639,1.16,1,37927,25712,74.09,23.33,0.56,16.94,3660.5,23.5,38244,21.65,34.5,24.5,19.3,31.3,38.31,60.71,6.578,0.06
CALHOUN,TX,2008,74070,20425,3.63,3,10235,10190,90.72,3.46,0.86,45.64,1641.5,15.7,43123,25.25,32.85,27.75,14.15,28,39.67,59.69,6.844,0.08
PICKENS,AL,2012,74040,19312,3.83,3,9258,10054,56.85,41.5,0.16,1.78,174,23.4,31433,25.25,37.8,26.2,10.8,37.4,46.35,53.31,10.15,0.01
WOODFORD,IL,2011,74030,38849,1.91,1,19258,19591,97.69,0.51,0.22,1.47,0,7,65998,8.8,34.3,30.8,26.1,30,31.12,67.14,6.52,0
LIVINGSTON,MO,2011,74020,15119,4.9,3,6749,8370,95.42,2.55,0.37,1.22,561,15.6,37956,16.2,43.85,24,15.95,29.9,32.9,64.86,7.58,0.04
