BUYER_COUNTY,BUYER_STATE,year_x,DOSAGE_UNIT,TOT_POP,drugdensity,densitybins,TOT_MALE,TOT_FEMALE,WA_PER,BA_PER,IA_PER,H_PER,GRNDTOT,Poverty_Percent,Median_Income,ltHS,HS,sCorA,B+,ObesityPercent,democrat,republican,Unemp_Yearly_Rate,crimerate
MARION,TN,2012,195700.0,28215.0,6.94,3,13836.0,14379.0,94.08,3.68,0.47,1.46,1619.0,18.5,39170.0,27.05,36.35,25.25,11.25,30.6,37.98,60.26,9.11,0.06
COFFEE,AL,2011,194410.0,50435.0,3.85,3,24939.0,25496.0,77.09,17.2,1.47,6.29,0.0,16.9,42173.0,20.7,27.75,30.5,21.0,28.5,24.99,74.17,8.15,0.0
WINSTON,AL,2011,194276.0,24358.0,7.98,3,11986.0,12372.0,96.86,0.63,0.79,2.7,0.0,19.8,31018.0,30.1,35.25,24.1,10.6,33.4,14.31,84.37,13.49,0.0
WYOMING,WV,2012,193630.0,23207.0,8.34,3,11543.0,11664.0,98.13,0.54,0.18,0.55,318.0,22.0,32880.0,28.65,45.1,17.95,8.2,37.9,21.04,76.68,9.17,0.01
WARREN,TN,2007,193330.0,39929.0,4.84,3,19730.0,20199.0,94.48,3.58,0.31,7.73,2517.0,16.6,38210.0,26.75,40.95,20.6,11.75,31.7,40.54,57.62,6.37,0.06
GRUNDY,TN,2012,193220.0,13591.0,14.22,4,6726.0,6865.0,97.61,0.49,0.54,1.0,545.0,25.6,27915.0,35.8,38.2,16.95,9.05,30.0,38.78,59.38,10.04,0.04
BLOUNT,AL,2012,192640.0,57570.0,3.35,3,28426.0,29144.0,96.24,1.59,0.6,8.42,254.0,16.2,44225.0,24.9,34.15,29.6,11.35,32.4,12.37,86.47,6.88,0.0
WARREN,TN,2009,191400.0,40450.0,4.73,3,19974.0,20476.0,94.14,3.74,0.35,8.44,2233.0,19.1,33836.0,26.75,40.95,20.6,11.75,34.6,37.85,59.98,14.32,0.06
FRANKLIN,TN,2007,189640.0,41261.0,4.6,3,20286.0,20975.0,91.97,5.95,0.31,2.44,2544.25,11.8,41528.0,20.3,37.0,24.75,17.95,30.1,39.88,58.71,4.92,0.06
FAYETTE,WV,2009,189160.0,46218.0,4.09,3,23100.0,23118.0,93.26,5.03,0.31,1.01,1243.0,21.6,31920.0,24.6,41.75,20.95,12.7,33.8,45.37,52.64,8.43,0.03
MARION,WV,2008,188950.0,56747.0,3.33,2,27410.0,29337.0,94.95,3.43,0.23,1.12,1481.25,18.8,35630.0,15.7,40.05,25.25,19.0,31.3,49.21,48.72,3.58,0.03
BERKELEY,WV,2007,188620.0,99777.0,1.89,1,49679.0,50098.0,90.71,6.69,0.3,2.95,5430.5,10.1,52566.0,17.1,39.2,25.75,17.9,32.8,41.23,57.67,4.11,0.05
COFFEE,TN,2006,187880.0,51459.0,3.65,3,25065.0,26394.0,93.46,4.16,0.33,3.31,2538.5,17.3,38106.0,19.85,35.4,26.5,18.2,28.1,37.59,61.1,5.48,0.05
