BUYER_COUNTY,BUYER_STATE,year_x,DOSAGE_UNIT,TOT_POP,drugdensity,densitybins,TOT_MALE,TOT_FEMALE,WA_PER,BA_PER,IA_PER,H_PER,GRNDTOT,Poverty_Percent,Median_Income,ltHS,HS,sCorA,B+,ObesityPercent,democrat,republican,Unemp_Yearly_Rate,crimerate,label,color,FEMALE_PER,HSorLess,CollegeorMore
GRADY,GA,2006,33300.0,24680.0,1.35,1,0.48,12842.0,66.86,30.83,0.87,7.86,1066.25,22.2,32212.0,26.45,37.95,23.45,12.15,29.9,37.77,61.77,5.0724936472346815,0.04,0,Red,0.52,64.4,35.6
HANCOCK,TN,2012,33300.0,6660.0,5.0,3,0.5,3354.0,98.0,0.38,0.27,0.39,508.0,31.8,25301.0,33.5,37.3,19.1,10.2,31.0,23.22,74.63,11.8,0.08,0,Red,0.5,70.8,29.3
HART,KY,2008,33300.0,18488.0,1.8,1,0.5,9304.0,93.23,5.31,0.28,1.41,363.5,21.7,31166.0,33.45,37.55,19.2,9.8,32.7,33.59,64.49,7.3,0.02,0,Red,0.5,71.0,29.0
PLATTE,NE,2007,33300.0,31815.0,1.05,1,0.5,15862.0,96.93,0.77,0.58,10.17,1300.75,8.9,48435.0,13.25,33.95,33.5,19.35,28.9,25.97,72.27,2.43,0.04,1,Blue,0.5,47.2,52.85
RICHLAND,IL,2006,33300.0,15649.0,2.13,1,0.49,8039.0,97.51,0.81,0.17,1.22,0.0,14.4,36107.0,14.45,32.0,35.2,18.35,27.0,37.11,61.55,4.54,0.0,0,Red,0.51,46.45,53.550000000000004
SAN JUAN,UT,2010,33300.0,14746.0,2.26,2,0.5,7343.0,46.93,0.18,50.73,4.4,733.0,25.2,37259.0,23.35,27.35,33.65,15.6,28.5,43.61,54.67,10.92,0.05,0,Red,0.5,50.7,49.25
CROSS,AR,2010,33200.0,17870.0,1.86,1,0.48,9249.0,76.05,22.3,0.26,1.49,454.0,19.6,35080.0,25.65,40.9,21.65,11.85,36.5,35.15,62.75,8.3,0.03,0,Red,0.52,66.55,33.5
CUSTER,MT,2010,33200.0,11699.0,2.84,2,0.5,5889.0,96.0,0.29,1.78,2.25,492.0,14.9,39469.0,11.5,29.0,38.9,20.6,24.2,37.76,59.22,4.57,0.04,3,Green,0.5,40.5,59.5
JACKSON,WI,2006,33200.0,19675.0,1.69,1,0.54,9117.0,90.16,2.71,5.83,3.15,1105.25,13.3,40908.0,16.25,41.7,29.45,12.55,27.9,57.1,41.75,5.53,0.06,3,Green,0.46,57.95,42.0
LAMAR,AL,2007,33200.0,14496.0,2.29,2,0.49,7437.0,86.28,12.61,0.21,2.06,142.25,18.5,32893.0,27.7,37.55,24.25,10.55,29.8,24.21,75.21,6.23,0.01,0,Red,0.51,65.25,34.8
LOS ALAMOS,NM,2009,33200.0,18094.0,1.83,1,0.51,8906.0,90.32,1.33,1.37,14.88,445.0,3.1,106148.0,2.85,11.05,23.15,63.0,18.7,51.64,45.57,3.26,0.02,2,Yellow,0.49,13.9,86.15
MOFFAT,CO,2008,33200.0,13820.0,2.4,2,0.52,6583.0,95.35,1.07,1.35,14.25,718.25,9.5,56427.0,15.15,36.8,33.3,14.85,20.6,26.95,70.43,3.8,0.05,1,Blue,0.48,51.949999999999996,48.15
NEW MADRID,MO,2011,33200.0,18782.0,1.77,1,0.48,9769.0,81.96,15.74,0.24,1.3,1001.0,22.5,35522.0,30.25,40.95,17.7,11.1,32.5,39.52,58.51,9.71,0.05,0,Red,0.52,71.2,28.799999999999997
THOMAS,KS,2011,33200.0,7939.0,4.18,3,0.49,4032.0,96.56,0.71,0.79,4.84,350.0,11.1,47892.0,6.05,30.3,37.85,25.75,30.9,18.27,79.5,3.68,0.04,3,Green,0.51,36.35,63.6
WABASH,IL,2011,33200.0,11793.0,2.82,2,0.49,6016.0,97.16,0.76,0.21,1.41,0.0,13.5,48154.0,14.1,30.7,39.6,15.6,31.3,33.87,64.88,8.97,0.0,3,Green,0.51,44.8,55.2
WASHINGTON,NC,2009,33200.0,12812.0,2.59,2,0.48,6698.0,49.32,48.47,0.29,4.06,504.0,23.3,33190.0,26.35,36.7,26.6,10.35,34.6,58.3,41.11,11.77,0.04,0,Red,0.52,63.050000000000004,36.95
HICKMAN,TN,2006,33150.0,23744.0,1.4,1,0.53,11253.0,92.57,5.72,0.57,1.52,869.5,20.4,34667.0,28.5,40.5,22.15,8.85,31.0,45.53,53.28,5.42,0.04,0,Red,0.47,69.0,31.0
TREMPEALEAU,WI,2006,33150.0,27649.0,1.2,1,0.5,13735.0,98.24,0.43,0.3,2.05,858.5,9.2,43694.0,14.75,39.85,29.0,16.5,27.0,59.96,38.95,4.31,0.03,3,Green,0.5,54.6,45.5
APPANOOSE,IA,2008,33100.0,12719.0,2.6,2,0.48,6581.0,97.41,0.86,0.28,1.44,812.75,18.1,33842.0,14.5,38.75,31.6,15.2,28.7,48.09,49.97,5.54,0.06,0,Red,0.52,53.25,46.8
BERTIE,NC,2008,33100.0,19371.0,1.71,1,0.49,9921.0,35.39,63.02,0.66,1.69,789.25,23.3,31375.0,30.05,36.9,22.55,10.55,35.9,65.2,34.58,7.55,0.04,0,Red,0.51,66.95,33.1
CALHOUN,MS,2008,33100.0,14500.0,2.28,2,0.48,7540.0,69.07,29.65,0.33,4.12,682.25,20.1,31181.0,30.1,35.25,23.9,10.7,32.5,35.97,63.71,8.84,0.05,0,Red,0.52,65.35,34.599999999999994
CRAIG,OK,2007,33100.0,15176.0,2.18,1,0.51,7445.0,69.31,3.87,16.39,2.87,747.5,21.5,36260.0,18.55,39.95,28.9,12.6,31.9,36.0,64.0,4.59,0.05,0,Red,0.49,58.5,41.5
JEFFERSON,OK,2009,33100.0,6325.0,5.23,3,0.5,3152.0,86.32,2.26,6.7,9.94,111.0,23.6,32085.0,24.25,39.55,24.7,11.55,33.2,31.32,68.67,8.25,0.02,0,Red,0.5,63.8,36.25
LANCASTER,VA,2006,33100.0,11462.0,2.89,2,0.47,6070.0,71.5,26.87,0.22,1.12,152.0,13.5,40883.0,17.75,29.35,24.7,28.2,27.2,43.2,56.17,4.46,0.01,3,Green,0.53,47.1,52.9
LUCE,MI,2011,33100.0,6519.0,5.08,3,0.58,2764.0,80.4,11.0,5.14,1.32,210.0,21.0,36515.0,18.0,38.95,29.6,13.45,34.5,39.5,59.24,12.21,0.03,0,Red,0.42,56.95,43.05
OREGON,MO,2011,33100.0,11045.0,3.0,2,0.49,5598.0,96.51,0.15,1.21,1.5,249.0,27.2,27616.0,22.05,43.15,23.75,10.95,32.0,33.94,63.4,9.79,0.02,0,Red,0.51,65.2,34.7
SANILAC,MI,2006,33100.0,43910.0,0.75,1,0.5,22017.0,97.37,0.79,0.43,2.96,704.25,14.5,40323.0,16.25,43.15,28.65,11.95,30.8,41.41,56.9,8.83,0.02,3,Green,0.5,59.4,40.599999999999994
SAWYER,WI,2007,33100.0,16968.0,1.95,1,0.51,8368.0,82.25,0.77,15.1,2.41,1055.25,12.3,39558.0,11.95,37.35,31.45,19.25,28.1,51.0,47.76,6.85,0.06,3,Green,0.49,49.3,50.7
FALLS,TX,2009,33090.0,16816.0,1.97,1,0.47,8951.0,71.65,25.74,0.98,21.27,453.0,23.2,31585.0,28.4,35.8,24.95,10.85,30.5,39.16,60.02,7.108,0.03,0,Red,0.53,64.19999999999999,35.8
BENTON,IA,2012,33080.0,25825.0,1.28,1,0.5,12967.0,98.18,0.45,0.17,1.27,595.0,9.0,59333.0,9.7,39.45,32.95,17.95,33.2,48.93,49.49,5.31,0.02,1,Blue,0.5,49.150000000000006,50.900000000000006
RICHLAND,WI,2012,33030.0,17806.0,1.85,1,0.5,8870.0,97.52,0.6,0.35,2.11,866.0,14.8,43632.0,13.9,40.8,28.85,16.45,32.8,57.41,41.28,6.25,0.05,3,Green,0.5,54.699999999999996,45.3
STARR,TX,2009,33020.0,62444.0,0.53,1,0.5,31492.0,97.58,1.01,0.58,96.17,2698.0,38.5,22418.0,58.25,20.35,13.15,8.3,29.1,84.96,14.69,14.040000000000001,0.04,0,Red,0.5,78.6,21.450000000000003
APPOMATTOX,VA,2007,33000.0,14196.0,2.32,2,0.49,7249.0,76.92,21.56,0.23,1.25,182.5,12.6,41089.0,22.2,37.1,25.1,15.55,29.9,34.19,64.59,3.88,0.01,3,Green,0.51,59.3,40.650000000000006
BOSQUE,TX,2011,33000.0,18263.0,1.81,1,0.5,9212.0,95.65,1.8,0.76,16.36,791.0,16.8,41361.0,19.95,33.85,29.2,16.9,29.3,19.81,78.84,8.31,0.04,3,Green,0.5,53.8,46.099999999999994
BROWN,MN,2008,33000.0,25799.0,1.28,1,0.5,12934.0,97.93,0.47,0.25,3.54,408.5,9.4,48652.0,13.3,38.1,30.45,18.15,28.0,42.65,54.74,6.0,0.02,1,Blue,0.5,51.400000000000006,48.599999999999994
CLOUD,KS,2010,33000.0,9533.0,3.46,3,0.49,4876.0,97.59,0.53,0.38,2.97,425.0,16.0,37539.0,11.6,34.5,34.3,19.6,32.7,25.85,71.46,5.63,0.04,0,Red,0.51,46.1,53.9
CUSTER,MT,2012,33000.0,11797.0,2.8,2,0.5,5899.0,95.33,0.38,1.97,2.64,484.0,15.5,41059.0,11.5,29.0,38.9,20.6,30.1,34.17,62.87,3.58,0.04,3,Green,0.5,40.5,59.5
GRAHAM,NC,2008,33000.0,7956.0,4.15,3,0.49,4070.0,89.74,1.06,7.29,1.94,520.0,17.7,32835.0,24.9,36.65,25.7,12.7,28.8,30.33,67.71,10.68,0.07,0,Red,0.51,61.55,38.4
ISLE OF WIGHT,VA,2009,33000.0,35927.0,0.92,1,0.49,18249.0,72.81,24.45,0.39,2.41,818.0,10.1,59463.0,18.1,29.2,30.45,22.2,31.2,42.67,56.39,4.946666666666666,0.02,1,Blue,0.51,47.3,52.65
LUCE,MI,2009,33000.0,6531.0,5.05,3,0.57,2831.0,81.06,9.51,5.51,2.59,225.0,20.4,37038.0,18.0,38.95,29.6,13.45,31.7,42.14,56.0,14.4,0.03,0,Red,0.43,56.95,43.05
WILLIAMS,ND,2008,33000.0,19809.0,1.67,1,0.5,9895.0,91.76,0.51,5.19,2.0,1037.25,9.9,50303.0,12.45,30.6,37.45,19.55,28.7,31.16,67.12,1.71,0.05,1,Blue,0.5,43.05,57.0
FREESTONE,TX,2011,32940.0,19599.0,1.68,1,0.52,9333.0,80.27,16.39,1.28,13.96,712.0,15.5,44564.0,20.7,36.4,31.6,11.3,30.8,25.31,73.79,7.81,0.04,3,Green,0.48,57.099999999999994,42.900000000000006
GREER,OK,2012,32940.0,6050.0,5.44,3,0.57,2586.0,85.72,7.42,3.17,10.02,39.0,24.9,33761.0,19.1,36.5,30.95,13.45,32.2,26.64,73.36,5.35,0.01,0,Red,0.43,55.6,44.4
NEW MADRID,MO,2008,32930.0,17491.0,1.88,1,0.48,9119.0,83.93,14.26,0.31,1.48,902.75,23.7,32196.0,30.25,40.95,17.7,11.1,31.2,41.65,56.76,7.13,0.05,0,Red,0.52,71.2,28.799999999999997
PIATT,IL,2007,32930.0,16455.0,2.0,1,0.49,8375.0,97.3,0.99,0.16,1.22,0.0,6.8,55009.0,8.35,35.85,31.0,24.75,26.5,41.26,57.3,3.76,0.0,1,Blue,0.51,44.2,55.75
BULLOCK,AL,2011,32920.0,10677.0,3.08,2,0.54,4909.0,27.19,70.22,0.77,7.77,0.0,32.8,26038.0,34.05,35.9,19.45,10.55,43.2,75.75,24.05,11.62,0.0,0,Red,0.46,69.94999999999999,30.0
CLARK,IL,2006,32900.0,16764.0,1.96,1,0.49,8572.0,98.11,0.61,0.29,0.91,0.0,11.9,40506.0,14.25,38.85,31.45,15.35,25.6,40.54,58.34,4.82,0.0,3,Green,0.51,53.1,46.8
FAYETTE,IL,2008,32900.0,20986.0,1.57,1,0.51,10195.0,94.5,4.19,0.23,1.3,0.0,15.1,39534.0,22.6,41.05,25.85,10.45,26.9,40.98,56.81,7.82,0.0,3,Green,0.49,63.65,36.3
FREEBORN,MN,2006,32900.0,31380.0,1.05,1,0.49,15906.0,97.45,0.76,0.32,6.82,1342.75,9.3,42235.0,14.55,37.25,33.4,14.8,27.1,56.23,41.86,4.4,0.04,3,Green,0.51,51.8,48.2
HARRISON,MO,2010,32900.0,8957.0,3.67,3,0.5,4513.0,98.01,0.35,0.44,1.57,161.0,17.1,34324.0,17.7,47.05,23.45,11.9,31.5,29.75,67.59,9.49,0.02,0,Red,0.5,64.75,35.35
LINCOLN,WY,2008,32900.0,16636.0,1.98,1,0.52,7964.0,96.83,0.46,0.96,3.88,422.5,7.4,60245.0,9.6,33.05,38.5,18.85,21.0,21.16,75.28,3.53,0.03,1,Blue,0.48,42.65,57.35
POTTER,PA,2007,32900.0,17105.0,1.92,1,0.5,8552.0,97.45,0.82,0.32,1.14,566.0,15.0,37520.0,15.7,47.5,23.1,13.65,30.8,30.1,68.75,7.22,0.03,0,Red,0.5,63.2,36.75
BECKER,MN,2007,32800.0,31915.0,1.03,1,0.5,16051.0,89.06,0.69,7.63,1.97,872.25,12.1,43419.0,12.25,33.4,34.0,20.35,28.9,44.04,53.7,5.73,0.03,3,Green,0.5,45.65,54.35
FAIRFIELD,SC,2006,32800.0,23569.0,1.39,1,0.48,12328.0,41.54,57.04,0.25,1.85,1221.0,21.4,33058.0,25.25,37.25,22.85,14.65,33.8,63.21,35.55,8.98,0.05,0,Red,0.52,62.5,37.5
FRANKLIN,IN,2010,32800.0,23087.0,1.42,1,0.5,11547.0,98.74,0.16,0.15,0.91,182.0,12.3,48938.0,18.15,43.5,22.25,16.1,28.6,29.81,68.22,11.48,0.01,1,Blue,0.5,61.65,38.35
HICKMAN,TN,2009,32800.0,24024.0,1.37,1,0.53,11325.0,92.06,6.01,0.6,1.8,779.0,18.5,38516.0,28.5,40.5,22.15,8.85,32.3,40.32,57.87,13.01,0.03,3,Green,0.47,69.0,31.0
IDAHO,ID,2009,32800.0,15530.0,2.11,1,0.52,7380.0,94.23,0.42,3.05,2.91,680.0,21.0,34778.0,13.6,36.65,32.95,16.75,29.7,23.88,72.74,11.15,0.04,0,Red,0.48,50.25,49.7
LARUE,KY,2011,32800.0,14187.0,2.31,2,0.5,7130.0,94.95,3.13,0.33,2.89,270.0,18.3,39174.0,22.85,40.3,25.35,11.55,30.5,30.29,67.69,10.0,0.02,3,Green,0.5,63.15,36.900000000000006
LINN,MO,2007,32800.0,12753.0,2.57,2,0.48,6673.0,97.04,1.17,0.53,1.42,332.75,17.3,33485.0,15.95,48.1,23.15,12.8,29.9,43.7,54.21,6.4,0.03,0,Red,0.52,64.05,35.95
MACON,GA,2009,32800.0,13366.0,2.45,2,0.52,6396.0,38.51,58.54,0.4,4.96,256.0,28.1,27831.0,32.0,34.5,24.2,9.3,33.5,65.71,33.84,8.737681398252178,0.02,0,Red,0.48,66.5,33.5
MAHASKA,IA,2008,32800.0,22112.0,1.48,1,0.5,10946.0,96.08,1.26,0.33,1.62,815.5,12.9,46872.0,12.75,40.0,27.05,20.15,28.2,40.83,57.36,4.58,0.04,3,Green,0.5,52.75,47.2
OTOE,NE,2010,32800.0,15740.0,2.08,1,0.49,8026.0,97.66,0.5,0.29,5.73,567.0,10.6,48980.0,11.6,38.85,29.75,19.75,34.5,38.89,58.93,5.07,0.04,1,Blue,0.51,50.45,49.5
SAUNDERS,NE,2012,32800.0,20795.0,1.58,1,0.51,10251.0,97.86,0.41,0.32,1.89,522.0,8.4,59831.0,10.05,34.4,33.85,21.7,27.3,32.07,65.65,4.24,0.03,1,Blue,0.49,44.45,55.55
TRINITY,TX,2008,32800.0,13916.0,2.36,2,0.48,7182.0,85.37,11.81,0.78,9.0,580.25,20.8,32925.0,21.7,38.8,29.0,10.55,28.0,31.68,67.39,7.633999999999999,0.04,0,Red,0.52,60.5,39.55
VALDEZ CORDOVA,AK,2009,32800.0,9337.0,3.51,3,0.53,4349.0,75.7,1.17,13.38,5.31,431.0,7.9,60780.0,7.8,28.95,36.3,26.95,29.1,41.14212694125584,57.13996623902764,8.737681398252178,0.05,1,Blue,0.47,36.75,63.25
WASHINGTON,TX,2006,32720.0,31990.0,1.02,1,0.49,16360.0,79.7,17.53,0.43,12.38,1444.5,15.1,41092.0,21.65,29.1,27.75,21.45,30.0,27.0,72.12,4.4,0.05,3,Green,0.51,50.75,49.2
